date current wind salinity temperature
2010-12-08 0.23309545 5.642908 35.270237 29.016918
2010-12-09 0.24318366 6.400909 35.301155 28.65802
2010-12-10 0.19734266 4.5796156 35.305984 29.004992
2010-12-11 0.27082267 2.987563 35.282326 29.807335
2010-12-12 0.5064329 5.963712 35.199112 29.26231
2010-12-13 0.14018852 4.0121484 35.13226 29.15414
2010-12-14 0.1752659 4.0330215 35.12644 29.405756
2010-12-15 0.3402101 3.9131744 35.138855 29.822577
2010-12-16 0.23959443 2.9568336 35.12033 30.54183
2010-12-17 0.28452674 3.1124704 35.064217 31.039276
2010-12-18 0.46111846 4.8337274 34.99199 30.637712
2010-12-19 0.47582448 6.6778903 34.986034 30.26441
2010-12-20 0.4317615 4.3131332 34.884296 30.27269
2010-12-21 0.36244035 8.297612 34.926163 29.60806
2010-12-22 0.3779914 9.466426 34.98834 28.898306
2010-12-23 0.27600643 8.714947 34.91221 28.783518
2010-12-24 0.61506 12.455619 34.879864 28.393908
2010-12-25 0.54306394 10.852868 34.76673 28.21014
2010-12-26 0.4040865 9.289067 34.653423 28.321243
2010-12-27 0.6296412 10.702068 34.695248 28.239624
2010-12-28 0.453021 5.613562 34.633972 28.35068
2010-12-29 0.28454888 2.8016431 34.415707 28.860027
2010-12-30 0.2639001 3.7960882 34.35775 29.30487
2010-12-31 0.4735215 8.960937 34.617466 28.566013
2011-01-01 0.4253721 8.825497 34.818035 28.039358
2011-01-02 0.3210282 4.9324636 34.775417 28.23421
2011-01-03 0.26172504 2.893514 34.42233 28.458794
2011-01-04 0.224819 2.525387 34.37169 29.02409
2011-01-05 0.2573321 2.2997983 34.49162 29.726889
2011-01-06 0.25538787 3.616964 34.56923 30.011549
2011-01-07 0.35866353 6.149586 34.649048 29.35851
2011-01-08 0.2655276 2.8369045 34.77966 29.53219
2011-01-09 0.2158359 2.5750792 34.773605 30.135506
2011-01-10 0.21853445 3.7725906 34.751083 30.33755
2011-01-11 0.35583782 3.8236432 34.690895 30.133745
2011-01-12 0.17617935 3.3402758 34.60651 30.156847
2011-01-13 0.12990461 5.749682 34.62616 30.000956
2011-01-14 0.17533349 7.356413 34.680164 29.62981
2011-01-15 0.16759768 6.47893 34.710693 29.480606
2011-01-16 0.19071276 4.1350136 34.647022 29.475677
2011-01-17 0.2821185 2.9663987 34.556908 29.712929
2011-01-18 0.33714822 3.5658162 34.515495 30.213408
2011-01-19 0.4234243 6.622254 34.3622 29.819122
2011-01-20 0.40047765 5.3865514 33.563107 29.64702
2011-01-21 0.32965255 7.1071935 34.20018 29.40638
2011-01-22 0.5451608 11.594935 34.4842 28.900272
2011-01-23 0.47676232 11.77068 34.643322 28.506681
2011-01-24 0.33301952 7.052877 34.730442 28.417318
2011-01-25 0.15765727 4.1454062 34.782673 28.84829
2011-01-26 0.18843938 6.5882006 34.793518 28.83206
2011-01-27 0.38888577 9.461231 34.823833 28.605751
2011-01-28 0.4575395 8.60975 34.865177 28.392567
2011-01-29 0.3919365 10.772857 34.87148 28.372265
2011-01-30 0.4901467 12.584859 34.841312 28.259336
2011-01-31 0.2888829 5.2393775 34.824203 28.659481
2011-02-01 0.27622867 8.171247 34.833607 28.713537
2011-02-02 0.7854285 18.900612 34.812508 28.367836
2011-02-03 0.6378828 16.350891 34.794918 28.316755
2011-02-04 0.2684931 7.2848163 34.79144 28.351646
2011-02-05 0.20148923 5.2503047 34.79848 28.667816
2011-02-06 0.2654935 5.530924 34.794636 28.723694
2011-02-07 0.23396324 6.824161 34.81874 28.834705
2011-02-08 0.21780479 7.2067595 34.821026 28.780338
2011-02-09 0.22696067 8.331466 34.824486 28.692923
2011-02-10 0.17399772 6.8304653 34.830902 28.62287
2011-02-11 0.19862702 8.104235 34.822357 28.526505
2011-02-12 0.15887815 6.849222 34.839348 28.71627
2011-02-13 0.14204766 4.737437 34.827755 28.902592
2011-02-14 0.20661575 4.5092587 34.83157 29.05349
2011-02-15 0.3251325 6.219289 34.80921 28.83621
2011-02-16 0.2751821 4.2470684 34.80316 28.71252
